id,name,category,homepage,location,recommended places,recospot,recohome
1,室蘭ランプ亭海の門,海鮮,www.instagram.com,室蘭の海鮮 - Google マイマップ,and.cafe美風,,
2,海鮮ビアホール汽笛,海鮮,kaisenbeerhallkiteki.owst.jp,室蘭の海鮮 - Google マイマップ,白鳥大橋,,
3,海鮮炭火料理　空雅,海鮮,https://www.bing.com/ck/a?!&&p=739b515d5cd180e4cd697b42626737c14238ff76cd633647842c911d2ef3f7d1JmltdHM9MTczMDc2NDgwMA&ptn=3&ver=2&hsh=4&fclid=350d644a-d8c6-65a0-3df6-74a7d9bc64af&psq=%e5%ae%a4%e8%98%ad+%e7%a9%ba%e9%9b%85&u=a1aHR0cHM6Ly90YWJlbG9nLmNvbS9ob2trYWlkby9BMDEwOC9BMDEwODAzLzEwNjAwNDQvP21zb2NraWQ9MzUwZDY0NGFkOGM2NjVhMDNkZjY3NGE3ZDliYzY0YWY&ntb=1,室蘭の海鮮 - Google マイマップ,and.cafe美風,,
4,味処いずみ,海鮮,https://www.bing.com/ck/a?!&&p=177a4a910ccfa138d7efbe17b645bd2a10b5140cac04e87b41b5a769add05d59JmltdHM9MTczMDc2NDgwMA&ptn=3&ver=2&hsh=4&fclid=350d644a-d8c6-65a0-3df6-74a7d9bc64af&psq=%e5%ae%a4%e8%98%ad%e3%80%80%e3%81%84%e3%81%9a%e3%81%bf&u=a1aHR0cHM6Ly90YWJlbG9nLmNvbS9ob2trYWlkby9BMDEwOC9BMDEwODAzLzEwMDY3NjYvP21zb2NraWQ9MzUwZDY0NGFkOGM2NjVhMDNkZjY3NGE3ZDliYzY0YWY&ntb=1,室蘭の海鮮 - Google マイマップ,カフェ　レストラン　シェモア,,
5,1598食堂,海鮮,https://www.bing.com/ck/a?!&&p=d9aba32b1445567bcbb3a5ec72ed402d4087ffc2469f9b842a45091d91a51178JmltdHM9MTczMDc2NDgwMA&ptn=3&ver=2&hsh=4&fclid=350d644a-d8c6-65a0-3df6-74a7d9bc64af&psq=%e5%ae%a4%e8%98%ad%e3%80%80%ef%bc%91%ef%bc%95%ef%bc%99%ef%bc%98&u=a1aHR0cHM6Ly90YWJlbG9nLmNvbS9ob2trYWlkby9BMDEwOC9BMDEwODAzLzEwNzQyOTEvP21zb2NraWQ9MzUwZDY0NGFkOGM2NjVhMDNkZjY3NGE3ZDliYzY0YWY&ntb=1,室蘭の海鮮 - Google マイマップ,THE LAMP ROOM CAFÉ,カフェ・スイーツのマイマップ,instagram.com
6,THE LAMP ROOM CAFÉ,カフェ,instagram.com,カフェ・スイーツのマイマップ,イタンキ浜,,
7,フェアリーテイル,カフェ,www.facebook.com,カフェ・スイーツのマイマップ,,,
8,MUTEKIROU,カフェ,,カフェ・スイーツのマイマップ,絵鞆岬展望台,,
9,蘭東館,カフェ,,カフェ・スイーツのマイマップ,,,
10,えんとつ町のドーナツ屋さん,カフェ,entotsudonut.com,カフェ・スイーツのマイマップ,,,
11,らぁめん　ひなた,ラーメン,,室蘭のラーメン店 ,,,
12,じぇんとる麺,ラーメン,www.facebook.com,室蘭のラーメン店 ,,,
13,味の大王なかじま店,ラーメン,www.daiou.com,室蘭のラーメン店 ,,,
14,しぶき屋,ラーメン,,室蘭のラーメン店 ,,,
15,だるま亭,ラーメン,dnopu.undeinosa.com,室蘭のラーメン店 ,,,
16,,中華,,中華のマイマップ,,,
17,,中華,,中華のマイマップ,,,
18,,中華,,中華のマイマップ,,,
19,,中華,,中華のマイマップ,,,
20,,中華,,中華のマイマップ,,,
21,やきとりの一平　本店,肉,www.e-ippei.com,肉のマイマップ,,,
22,,肉,,肉のマイマップ,,,
23,,肉,,肉のマイマップ,,,
24,,肉,,肉のマイマップ,,,
25,,肉,,肉のマイマップ,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
